NAME                                VERSION            TYPE                      
range_check                         2.0.4              npm                       
raw-body                            2.5.2              npm                       
rc                                  1.2.8              npm                       
readable-stream                     1.0.34             npm                       
readable-stream                     2.3.8              npm                       
readable-stream                     3.6.2              npm     (+3 duplicates)   
readable-stream                     4.7.0              npm                       
readable-web-to-node-stream         3.0.4              npm                       
readdirp                            3.5.0              npm                       
rechoir                             0.7.1              npm                       
recursedir-comparisons              0.0.0              npm                       
regex-not                           1.0.2              npm                       
regexp.prototype.flags              1.5.4              npm                       
remove-trailing-separator           1.1.0              npm                       
repeat-element                      1.1.4              npm                       
repeat-string                       1.6.1              npm                       
replace                             1.2.2              npm                       
require-directory                   2.1.1              npm                       
require-main-filename               2.0.0              npm                       
resolve                             1.22.10            npm                       
resolve-dir                         1.0.1              npm                       
resolve-url                         0.2.1              npm                       
responselike                        1.0.2              npm                       
restructure                         2.0.1              npm                       
ret                                 0.1.15             npm                       
retry                               0.10.1             npm                       
retry                               0.12.0             npm                       
retry-as-promised                   7.1.1              npm                       
rimraf                              2.7.1              npm     (+2 duplicates)   
rimraf                              3.0.2              npm                       
safe-buffer                         5.1.2              npm     (+2 duplicates)   
safe-buffer                         5.2.1              npm                       
safe-regex                          1.1.0              npm                       
safe-regex-test                     1.1.0              npm                       
safe-stable-stringify               2.5.0              npm                       
safer-buffer                        2.1.2              npm                       
samsam                              1.1.2              npm                       
sanitize-filename                   1.6.3              npm                       
sanitize-html                       1.4.2              npm                       
sax                                 1.4.1              npm                       
seek-bzip                           1.0.6              npm                       
semver                              5.7.2              npm     (+3 duplicates)   
semver                              7.7.2              npm                       
send                                0.19.0             npm                       
sequelize                           6.37.7             npm                       
sequelize-pool                      7.1.0              npm                       
serve-index                         1.9.1              npm                       
serve-static                        1.16.2             npm                       
set-blocking                        2.0.0              npm                       
set-function-length                 1.2.2              npm                       
set-function-name                   2.0.2              npm                       
set-value                           2.0.1              npm                       
setimmediate                        1.0.5              npm                       
setprototypeof                      1.1.0              npm                       
setprototypeof                      1.2.0              npm                       
shebang-command                     2.0.0              npm                       
shebang-regex                       3.0.0              npm                       
side-channel                        1.1.0              npm                       
side-channel-list                   1.0.0              npm                       
side-channel-map                    1.0.1              npm                       
side-channel-weakmap                1.0.2              npm                       
signal-exit                         3.0.7              npm                       
signal-exit                         4.1.0              npm                       
simple-concat                       1.0.1              npm                       
simple-get                          3.1.1              npm                       
simple-get                          4.0.1              npm     (+1 duplicate)    
simple-swizzle                      0.2.2              npm                       
sinon                               1.17.7             npm                       
smart-buffer                        4.2.0              npm                       
snapdragon                          0.8.2              npm                       
snapdragon-node                     2.1.1              npm                       
snapdragon-util                     3.0.1              npm                       
socket.io                           3.1.2              npm                       
socket.io-adapter                   2.1.0              npm                       
socket.io-parser                    4.0.5              npm                       
socks                               2.8.7              npm                       
socks-proxy-agent                   6.2.1              npm                       
socks-proxy-agent                   8.0.5              npm                       
sort-keys                           1.1.2              npm                       
sort-keys                           2.0.0              npm                       
sort-keys-length                    1.0.1              npm                       
source-map                          0.5.7              npm                       
source-map                          0.6.1              npm                       
source-map-resolve                  0.5.3              npm                       
source-map-support                  0.5.21             npm                       
source-map-url                      0.4.1              npm                       
split-string                        3.1.0              npm                       
sprintf-js                          1.0.3              npm                       
sprintf-js                          1.1.3              npm                       
sqlite3                             5.1.7              npm                       
ssri                                12.0.0             npm                       
ssri                                8.0.1              npm                       
stack-trace                         0.0.10             npm                       
static-extend                       0.1.2              npm                       
statuses                            1.5.0              npm                       
statuses                            2.0.1              npm                       
stop-iteration-iterator             1.1.0              npm                       
stream-buffers                      2.2.0              npm                       
streamsearch                        1.1.0              npm                       
strict-uri-encode                   1.1.0              npm                       
string-width                        1.0.2              npm                       
string-width                        2.1.1              npm                       
string-width                        4.2.3              npm     (+1 duplicate)    
string-width                        5.1.2              npm     (+1 duplicate)    
string.fromcodepoint                0.2.1              npm                       
string.prototype.codepointat        0.2.1              npm                       
string_decoder                      0.10.31            npm                       
string_decoder                      1.1.1              npm                       
string_decoder                      1.3.0              npm                       
strip-ansi                          3.0.1              npm     (+1 duplicate)    
strip-ansi                          4.0.0              npm                       
strip-ansi                          6.0.1              npm     (+1 duplicate)    
strip-ansi                          7.1.0              npm     (+1 duplicate)    
strip-bom                           3.0.0              npm                       
strip-dirs                          2.1.0              npm                       
strip-json-comments                 2.0.1              npm     (+1 duplicate)    
strip-outer                         1.0.1              npm                       
strtok3                             6.3.0              npm                       
supports-color                      2.0.0              npm                       
supports-color                      5.5.0              npm                       
supports-color                      7.2.0              npm                       
supports-preserve-symlinks-flag     1.0.0              npm                       
svg-captcha                         1.4.0              npm                       
swagger-ui-dist                     5.28.1             npm                       
swagger-ui-express                  5.0.1              npm                       
tar                                 4.4.19             npm                       
tar                                 6.2.1              npm                       
tar                                 7.4.3              npm                       
tar-fs                              2.1.3              npm                       
tar-stream                          1.6.2              npm                       
tar-stream                          2.2.0              npm                       
tdigest                             0.1.2              npm                       
text-hex                            1.0.0              npm                       
thirty-two                          1.0.2              npm                       
through                             2.3.8              npm                       
timed-out                           4.0.1              npm                       
tiny-inflate                        1.0.3              npm                       
tinyglobby                          0.2.14             npm                       
to-buffer                           1.2.1              npm                       
to-object-path                      0.3.0              npm                       
to-regex                            3.0.2              npm                       
to-regex-range                      2.1.1              npm                       
to-regex-range                      5.0.1              npm     (+2 duplicates)   
toidentifier                        1.0.1              npm                       
token-stream                        1.0.0              npm                       
token-types                         4.2.1              npm                       
tr46                                0.0.3              npm                       
traverse                            0.3.9              npm                       
tree-kill                           1.2.2              npm                       
trim-repeated                       1.0.0              npm                       
triple-beam                         1.4.1              npm                       
truncate-utf8-bytes                 1.0.2              npm                       
ts-node                             9.1.1              npm                       
ts-node-dev                         1.1.8              npm                       
tsconfig                            7.0.0              npm                       
tslib                               2.7.0              npm                       
tunnel-agent                        0.6.0              npm                       
type-is                             1.6.18             npm                       
typecast                            0.0.1              npm                       
typed-array-buffer                  1.0.3              npm                       
typedarray                          0.0.6              npm                       
typescript                          5.3.3              npm                       
tzdata                              2025b-0+deb12u1    deb                       
uglify-js                           3.19.3             npm                       
unbzip2-stream                      1.4.3              npm                       
unc-path-regex                      0.1.2              npm                       
underscore.string                   3.3.6              npm                       
undici-types                        6.19.8             npm                       
undici-types                        6.21.0             npm                       
unicode-properties                  1.4.1              npm                       
unicode-trie                        2.0.0              npm                       
union-value                         1.0.1              npm                       
unique-filename                     1.1.1              npm                       
unique-filename                     4.0.0              npm                       
unique-slug                         2.0.2              npm                       
unique-slug                         5.0.0              npm                       
unit-compare                        1.0.1              npm                       
universalify                        2.0.1              npm                       
unpipe                              1.0.0              npm                       
unset-value                         1.0.0              npm                       
untildify                           2.1.0              npm                       
unzipper                            0.9.15             npm                       
urix                                0.1.0              npm                       
url-parse-lax                       3.0.0              npm                       
url-to-options                      1.0.1              npm                       
use                                 3.1.1              npm                       
utf8-byte-length                    1.0.5              npm                       
util                                0.12.5             npm                       
util-deprecate                      1.0.2              npm                       
utils-merge                         1.0.1              npm                       
uuid                                8.3.2              npm                       
v8flags                             3.2.0              npm                       
validate                            4.5.1              npm                       
validator                           13.15.15           npm                       
vary                                1.1.2              npm                       
vm2                                 3.9.17             npm                       
void-elements                       3.1.0              npm                       
walk                                2.3.15             npm                       
walkdir                             0.0.11             npm                       
web3                                4.16.0             npm                       
web3-core                           4.7.1              npm                       
web3-errors                         1.3.1              npm                       
web3-eth                            4.11.1             npm                       
web3-eth-abi                        4.4.1              npm                       
web3-eth-accounts                   4.3.1              npm                       
web3-eth-contract                   4.7.2              npm                       
web3-eth-ens                        4.4.0              npm                       
web3-eth-iban                       4.0.7              npm                       
web3-eth-personal                   4.1.0              npm                       
web3-net                            4.1.0              npm                       
web3-providers-http                 4.2.0              npm                       
web3-providers-ipc                  4.0.7              npm                       
web3-providers-ws                   4.0.8              npm                       
web3-rpc-methods                    1.3.0              npm                       
web3-rpc-providers                  1.0.0-rc.4         npm                       
web3-types                          1.10.0             npm                       
web3-utils                          4.3.3              npm                       
web3-validator                      2.0.6              npm                       
webidl-conversions                  3.0.1              npm                       
whatwg-url                          5.0.0              npm                       
which                               1.3.1              npm                       
which                               2.0.2              npm                       
which                               5.0.0              npm                       
which-boxed-primitive               1.1.1              npm                       
which-collection                    1.0.2              npm                       
which-module                        2.0.1              npm                       
which-pm-runs                       1.1.0              npm                       
which-typed-array                   1.1.19             npm                       
wide-align                          1.1.3              npm                       
wide-align                          1.1.5              npm                       
winston                             3.17.0             npm                       
winston-transport                   4.9.0              npm                       
with                                7.0.2              npm                       
wkx                                 0.5.0              npm                       
wordwrap                            0.0.3              npm                       
wordwrap                            1.0.0              npm                       
wrap-ansi                           6.2.0              npm                       
wrap-ansi                           7.0.0              npm                       
wrap-ansi                           8.1.0              npm                       
wrappy                              1.0.2              npm                       
ws                                  7.4.6              npm                       
ws                                  8.17.1             npm                       
xtend                               4.0.2              npm                       
y18n                                4.0.3              npm                       
yallist                             3.1.1              npm                       
yallist                             4.0.0              npm     (+3 duplicates)   
yallist                             5.0.0              npm                       
yaml-schema-validator               1.2.3              npm                       
yargs                               15.4.1             npm                       
yargs-parser                        18.1.3             npm                       
yauzl                               2.10.0             npm                       
yn                                  3.1.1              npm                       
z85                                 0.0.2              npm                       
zip-stream                          1.2.0              npm                       
zod                                 3.25.76            npm
